Locations ,Actual Temperature ,Feels Like Temperature ,Humidity? - %,Visibility (miles),Pressure ,ambient estimation using visibility (lux),,,ambient light coeeficient estimation 
New York ,56,55,46,22,29.97,23452.0788,,,10
Delhi ,45,45,64,16,29.96,20000,,,
Savannah ,62,63,76,14,30.12,18708.28693,,,"Lux≈10,000⋅(Visibility in miles)0.5"
Greenville ,59,58,74,14,30.07,18708.28693,,,
Des Moines ,50,50,69,13,29.93,18027.75638,,,
Cave Creek ,62,58,27,28,29.75,26457.51311,,,
Chikaming ,54,50,83,11,29.92,16583.12395,,,
Miami,75,73,66,16,30.04,20000,,,
Topeka ,58,56,76,10,29.87,15811.3883,,,
Seattle ,45,40,87,5,29.67,11180.33989,,,
Irvine ,63,62,43,21,29.92,22912.87847,,,
New York ,48,47,66,16,29.92,20000,,,
Delhi ,41,42,71,16,29.91,20000,,,
Savannah ,57,56,84,12,30.09,17320.50808,,,
Greenville ,52,49,84,12,30.05,17320.50808,,,
Des Moines ,42,42,83,12,29.91,17320.50808,,,
Cave Creek ,48,44,41,23,29.86,23979.15762,,,
Chikaming ,52,51,90,11,29.95,16583.12395,,,
Miami,73,72,70,16,30.04,20000,,,
Topeka ,56,56,87,8,29.84,14142.13562,,,
Seattle ,42,33,89,13,29.68,18027.75638,,,
Irvine ,52,49,65,16,29.97,20000,,,
New York ,57,57,55,15,29.89,19364.91673,,,
Delhi ,47,42,81,10,29.91,15811.3883,,,
Savannah ,65,70,74,15,30.11,19364.91673,,,
Greenville ,60,60,68,13,30.05,18027.75638,,,
Des Moines ,53,44,93,5,29.71,11180.33989,,,
Cave Creek ,44,46,51,15,29.99,19364.91673,,,
Chikaming ,54,49,88,11,29.96,16583.12395,,,
Miami,78,75,66,14,30.05,18708.28693,,,
Topeka ,62,52,93,3,29.48,8660.254038,,,
Seattle ,40,35,91,13,29.83,18027.75638,,,
Irvine ,48,48,79,16,29.99,20000,,,
New York ,62,59,48,15,29.85,19364.91673,,,
Delhi ,50,45,64,13,29.87,18027.75638,,,
Savannah ,74,78,59,15,30.01,19364.91673,,,
Greenville ,71,71,52,16,29.97,20000,,,
Des Moines ,61,50,88,5,29.46,11180.33989,,,
Cave Creek ,60,60,26,16,29.91,20000,,,
Chikaming ,60,53,82,9,29.88,15000,,,
Miami,81,78,60,16,29.97,20000,,,
Topeka ,66,56,85,9,29.27,15000,,,
Seattle ,44,34,77,14,29.9,18708.28693,,,
Irvine ,63,66,58,16,29.99,20000,,,
New York ,57,51,56,15,29.89,19364.91673,,,
Delhi ,45,37,74,14,29.93,18708.28693,,,
Savannah ,68,67,75,14,30.01,18708.28693,,,
Greenville ,64,65,64,15,29.99,19364.91673,,,
Des Moines ,63,53,87,5,29.37,11180.33989,,,
Cave Creek ,61,60,25,15,29.87,19364.91673,,,
Chikaming ,59,53,86,9,29.85,15000,,,
Miami,78,76,66,15,29.98,19364.91673,,,
Topeka ,64,54,80,11,29.22,16583.12395,,,
Seattle ,45,35,77,13,29.9,18027.75638,,,
Irvine ,64,63,57,15,29.94,19364.91673,,,
New York ,54,48,60,15,29.92,19364.91673,,,
Delhi ,42,36,81,13,29.97,18027.75638,,,
Savannah ,63,61,83,13,30.03,18027.75638,,,
Greenville ,59,58,72,15,30.01,19364.91673,,,
Des Moines ,62,53,88,7,29.3,13228.75656,,,
Cave Creek ,53,51,37,15,29.87,19364.91673,,,
Chikaming ,58,51,89,12,29.82,17320.50808,,,
Miami,75,73,71,15,30,19364.91673,,,
Topeka ,60,47,66,13,29.25,18027.75638,,,
Seattle ,42,35,83,15,29.91,19364.91673,,,
Irvine ,59,57,66,15,29.95,19364.91673,,,
New York ,51,51,60,15,29.98,19364.91673,,,
Delhi ,42,46,70,12,30,17320.50808,,,
Savannah ,70,69,75,14,30.02,18708.28693,,,
Greenville ,60,58,82,10,29.98,15811.3883,,,
Des Moines ,49,41,71,14,29.57,18708.28693,,,
Cave Creek ,47,46,58,15,30.1,19364.91673,,,
Chikaming ,61,51,87,12,29.58,17320.50808,,,
Miami,80,78,64,16,30.01,20000,,,
Topeka ,50,45,67,14,29.75,18708.28693,,,
Seattle ,39,38,87,14,29.93,18708.28693,,,
Irvine ,46,45,82,14,30.09,18708.28693,,,
New York ,56,55,48,15,29.92,19364.91673,,,
Delhi ,48,49,58,13,29.92,18027.75638,,,
Savannah ,74,73,67,14,29.94,18708.28693,,,
Greenville ,64,61,78,10,29.92,15811.3883,,,
Des Moines ,52,44,64,14,29.64,18708.28693,,,
Cave Creek ,60,65,37,16,30.08,20000,,,
Chikaming ,63,53,76,13,29.58,18027.75638,,,
Miami,82,80,60,16,29.94,20000,,,
Topeka ,55,49,58,14,29.77,18708.28693,,,
Seattle ,42,41,77,12,29.9,17320.50808,,,
Irvine ,60,59,49,15,30.11,19364.91673,,,
New York ,55,55,53,15,29.91,19364.91673,,,
Delhi ,44,46,69,13,29.91,18027.75638,,,
Savannah ,69,70,80,14,29.94,18708.28693,,,
Greenville ,62,62,88,7,29.91,13228.75656,,,
Des Moines ,51,40,65,13,29.74,18027.75638,,,
Cave Creek ,64,66,30,16,30.02,20000,,,
Chikaming ,59,52,81,13,29.66,18027.75638,,,
Miami,78,77,67,15,29.94,19364.91673,,,
Topeka ,53,42,60,14,29.85,18708.28693,,,
Seattle ,47,40,68,14,29.73,18708.28693,,,
Irvine ,68,70,37,16,30.04,20000,,,
New York ,59,51,69,15,29.89,19364.91673,,,
Delhi ,41,43,79,12,29.9,17320.50808,,,
Savannah ,67,67,89,12,29.93,17320.50808,,,
Greenville ,60,62,91,6,29.9,12247.44871,,,
Des Moines ,44,36,70,14,29.84,18708.28693,,,
Cave Creek ,52,49,43,15,30.1,19364.91673,,,
Chikaming ,54,46,83,13,29.75,18027.75638,,,
Miami,74,73,77,15,29.97,19364.91673,,,
Topeka ,45,35,68,14,29.97,18708.28693,,,
Seattle ,45,31,66,11,29.51,16583.12395,,,
Irvine ,59,57,55,16,30.09,20000,,,
New York ,53,51,62,20,29.81,22360.67977,,,
Delhi ,50,49,68,18,29.77,21213.20344,,,
Savannah ,69,69,93,9,29.82,15000,,,
Greenville ,62,63,93,6,29.79,12247.44871,,,
Des Moines ,37,21,69,18,29.94,21213.20344,,,
Cave Creek ,46,46,37,28,30.21,26457.51311,,,
Chikaming ,42,28,83,7,29.83,13228.75656,,,
Miami,80,77,72,19,29.93,21794.49472,,,
Topeka ,40,29,62,21,30.18,22912.87847,,,
Seattle ,44,37,80,18,29.63,21213.20344,,,
Irvine ,45,47,66,19,30.17,21794.49472,,,
New York ,58,57,52,22,29.77,23452.0788,,,
Delhi ,54,52,66,19,29.72,21794.49472,,,
Savannah ,72,71,86,12,29.77,17320.50808,,,
Greenville ,66,64,87,11,29.74,16583.12395,,,
Des Moines ,39,20,65,19,29.94,21794.49472,,,
Cave Creek ,64,67,21,29,30.2,26925.82404,,,
Chikaming ,45,32,69,18,29.79,21213.20344,,,
Miami,83,80,70,19,29.88,21794.49472,,,
Topeka ,46,34,46,23,30.16,23979.15762,,,
Seattle ,47,46,77,18,29.69,21213.20344,,,
Irvine ,61,67,49,18,30.2,21213.20344,,,
New York ,59,58,54,20,29.75,22360.67977,,,
Delhi ,54,51,66,19,29.7,21794.49472,,,
Savannah ,74,75,85,12,29.74,17320.50808,,,
Greenville ,70,70,79,15,29.7,19364.91673,,,
Des Moines ,40,20,63,18,29.92,21213.20344,,,
Cave Creek ,71,75,16,29,30.16,26925.82404,,,
Chikaming ,47,36,58,20,29.76,22360.67977,,,
Miami,81,78,72,18,29.84,21213.20344,,,
Topeka ,49,37,40,25,30.12,25000,,,
Seattle ,50,42,69,20,29.71,22360.67977,,,
Irvine ,69,73,40,23,30.18,23979.15762,,,
New York ,53,47,79,17,29.65,20615.52813,,,
Delhi ,45,38,77,18,29.61,21213.20344,,,
Savannah ,59,49,72,20,29.87,22360.67977,,,
Greenville ,44,41,64,20,29.9,22360.67977,,,
Des Moines ,32,16,71,18,29.97,21213.20344,,,
Cave Creek ,54,48,26,28,30.15,26457.51311,,,
Chikaming ,35,20,79,12,29.74,17320.50808,,,
Miami,74,75,91,16,29.85,20000,,,
Topeka ,40,26,50,25,30.13,25000,,,
Seattle ,46,46,82,16,29.81,20000,,,
Irvine ,54,52,65,15,30.15,19364.91673,,,
New York ,47,38,94,6,29.53,12247.44871,,,
Delhi ,35,35,96,1,29.63,5000,,,
Savannah ,46,45,71,19,29.96,21794.49472,,,
Greenville ,40,39,70,19,29.87,21794.49472,,,
Des Moines ,72,68,85,16,29.88,20000,,,
Cave Creek ,47,41,30,28,30.16,26457.51311,,,
Chikaming ,33,16,88,6,29.67,12247.44871,,,
Miami,72,68,85,16,29.88,20000,,,
Topeka ,31,17,70,19,30.24,21794.49472,,,
Seattle ,41,42,90,15,29.89,19364.91673,,,
Irvine ,46,45,67,16,30.15,20000,,,
New York ,49,43,90,4,29.45,10000,,,
Delhi ,38,36,94,2,29.53,7071.067812,,,
Savannah ,61,57,42,24,29.84,24494.89743,,,
Greenville ,52,44,44,27,29.77,25980.76211,,,
Des Moines ,40,29,66,15,30.11,19364.91673,,,
Cave Creek ,77,77,12,28,30.09,26457.51311,,,
Chikaming ,36,21,94,1,29.59,5000,,,
Miami,80,80,52,22,29.84,23452.0788,,,
Topeka ,45,38,55,19,30.23,21794.49472,,,
Seattle ,48,49,76,12,29.9,17320.50808,,,
Irvine ,72,76,29,26,30.12,25495.09757,,,
New York ,48,45,90,6,29.45,12247.44871,,,
Delhi ,36,36,95,1,29.53,5000,,,
Savannah ,58,49,45,23,29.84,23979.15762,,,
Greenville ,47,37,48,26,29.8,25495.09757,,,
Des Moines ,40,26,67,16,30.13,20000,,,
Cave Creek ,80,84,10,28,30.04,26457.51311,,,
Chikaming ,40,34,91,5,29.58,11180.33989,,,
Miami,76,72,53,21,29.86,22912.87847,,,
Topeka ,45,37,55,20,30.219,22360.67977,,,
Seattle ,48,48,79,14,29.89,18708.28693,,,
Irvine ,73,76,32,22,30.07,23452.0788,,,
New York ,42,30,90,4,29.43,10000,,,
Delhi ,34,32,96,1,29.5,5000,,,
Savannah ,51,43,56,21,29.87,22912.87847,,,
Greenville ,41,34,59,23,29.83,23979.15762,,,
Des Moines ,36,23,76,15,30.17,19364.91673,,,
Cave Creek ,67,64,20,27,30.03,25980.76211,,,
Chikaming ,36,23,93,8,29.74,14142.13562,,,
Miami,67,60,60,19,29.94,21794.49472,,,
Topeka ,39,31,70,18,30.23,21213.20344,,,
Seattle ,46,47,86,12,29.9,17320.50808,,,
Irvine ,65,63,47,18,30.06,21213.20344,,,